painting,paintingLabel,artistLabel,locationLabel,locationCoord,year,image
http://www.wikidata.org/entity/Q97323065,Q97323065,Pere Robredo,Girona Museum of Art,Point(2.82605 41.986844),1600,http://commons.wikimedia.org/wiki/Special:FilePath/SantFeliu-JBorgunya-predicaci%C3%B3.jpg
http://www.wikidata.org/entity/Q55726125,Sant'Orsola in gloria,Andrea Previtali,Accademia Carrara,Point(9.675609 45.70386),1520,http://commons.wikimedia.org/wiki/Special:FilePath/Sant%27Orsola%20in%20gloria%20Previtali.jpg
http://www.wikidata.org/entity/Q52727188,Der kniende Stifter Graf Gottfried Werner von Zimmern – Christus am Ölberg,Master of Messkirch,Meßkirch Castle,Point(9.11008333 47.99295833),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20links-offen0004.jpg
http://www.wikidata.org/entity/Q61962938,Q61962938,Bartolomé Bermejo,Grand Rapids Art Museum,Point(-85.6714 42.965),1479,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20Marededeu%204136.jpg
http://www.wikidata.org/entity/Q97323065,Q97323065,Pere Robredo,Girona Museum of Art,Point(2.8264056 41.9869917),1600,http://commons.wikimedia.org/wiki/Special:FilePath/SantFeliu-JBorgunya-predicaci%C3%B3.jpg
http://www.wikidata.org/entity/Q52776229,The capture of Christ,Master of Messkirch,Meßkirch Castle,Point(9.11008333 47.99295833),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016.jpg
http://www.wikidata.org/entity/Q52729031,Die kniende Stifterin Gräfin Apollonia von Henneberg – Christus am Ölberg,Master of Messkirch,Schloss Donaueschingen,Point(8.503083333 47.952194444),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20rechts-offen0005.jpg
http://www.wikidata.org/entity/Q52725477,Die durch Engel bekrönte Muttergottes mit Kind im Kreise der 14 Schutzheiligen des Hauses Zimmern,Master of Messkirch,Staatsgalerie Stuttgart,Point(9.186875 48.780227777),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Mitteltafel-0014.jpg
http://www.wikidata.org/entity/Q61910620,The Arrest of Santa Engracia,Bartolomé Bermejo,San Diego Museum of Art,Point(-117.150556 32.732222),1477,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Sta.Engracia%20arrest%204117.jpg
http://www.wikidata.org/entity/Q97323065,Q97323065,Joan Dartrica,Girona Museum of Art,Point(2.82605 41.986844),1600,http://commons.wikimedia.org/wiki/Special:FilePath/SantFeliu-JBorgunya-predicaci%C3%B3.jpg
http://www.wikidata.org/entity/Q52727188,Der kniende Stifter Graf Gottfried Werner von Zimmern – Christus am Ölberg,Master of Messkirch,Schloss Donaueschingen,Point(8.503083333 47.952194444),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20links-offen0004.jpg
http://www.wikidata.org/entity/Q52775046,Christi Abschied von seiner Mutter,Master of Messkirch,Staatsgalerie Stuttgart,Point(9.186875 48.780227777),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016-2.jpg
http://www.wikidata.org/entity/Q97323065,Q97323065,Joan Dartrica,Girona Museum of Art,Point(2.8264056 41.9869917),1600,http://commons.wikimedia.org/wiki/Special:FilePath/SantFeliu-JBorgunya-predicaci%C3%B3.jpg
http://www.wikidata.org/entity/Q61910620,The Arrest of Santa Engracia,Bartolomé Bermejo,San Diego Museum of Art,Point(-117.15047 32.73223),1477,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Sta.Engracia%20arrest%204117.jpg
http://www.wikidata.org/entity/Q55565074,Madonna/Virgin and Child with the Infant St John the Baptist.,Marco Palmezzano,museum storage,,1500,http://commons.wikimedia.org/wiki/Special:FilePath/Palmezzano%20Madonna%20and%20Child.jpg
